A,:85
B,:459
C,:321
D,:2005
E,:633
F,:291
J,:66
L,:128
K,:128
M,:128
N,:11
I,:4
B,C,D,E,K,:4
B,C,D,E,M,:4
B,C,D,E,N,:3
B,C,D,F,J,:4
B,C,D,F,L,:4
B,C,D,F,K,:4
B,C,D,F,M,:4
B,C,D,F,N,:3
B,C,D,J,L,:4
B,C,D,J,K,:4
B,C,D,J,M,:4
B,C,D,J,N,:3
B,C,D,L,M,:4
B,C,D,L,N,:3
B,C,D,K,L,:4
B,C,D,K,M,:4
B,C,D,K,N,:3
B,C,D,M,N,:3
B,C,E,F,J,:4
B,C,E,F,L,:4
B,C,E,F,K,:4
B,C,E,F,M,:4
B,C,E,F,N,:3
B,C,E,J,L,:4
B,C,E,J,K,:4
B,C,E,J,M,:4
B,C,E,J,N,:3
B,C,E,L,M,:4
B,C,E,L,N,:3
B,C,E,K,L,:4
B,C,E,K,M,:4
B,C,E,K,N,:3
B,C,E,M,N,:3
B,C,F,J,L,:4
B,C,F,J,K,:4
B,C,F,J,M,:4
B,C,F,J,N,:3
B,C,F,L,M,:4
B,C,F,L,N,:3
B,C,F,K,L,:4
B,C,F,K,M,:4
B,C,F,K,N,:3
B,C,F,M,N,:3
B,C,J,L,M,:4
B,C,J,L,N,:3
B,C,J,K,L,:4
B,C,J,K,M,:4
B,C,J,K,N,:3
B,C,J,M,N,:3
B,C,L,M,N,:3
B,C,K,L,M,:4
B,C,K,L,N,:3
B,C,K,M,N,:3
B,D,E,F,J,:4
B,D,E,F,L,:4
B,D,E,F,K,:4
B,D,E,F,M,:4
B,D,E,F,N,:3
B,D,E,J,L,:4
B,D,E,J,K,:4
B,D,E,J,M,:4
B,D,E,J,N,:3
B,D,E,L,M,:4
B,D,E,L,N,:3
B,D,E,K,L,:4
B,D,E,K,M,:4
B,D,E,K,N,:3
B,D,E,M,N,:3
B,D,F,J,L,:4
B,D,F,J,K,:4
B,D,F,J,M,:4
B,D,F,J,N,:3
B,D,F,L,M,:4
B,D,F,L,N,:3
B,D,F,K,L,:4
B,D,F,K,M,:4
B,D,F,K,N,:3
B,D,F,M,N,:3
B,D,J,L,M,:4
B,D,J,L,N,:3
B,D,J,K,L,:4
B,D,J,K,M,:4
B,D,J,K,N,:3
B,D,J,M,N,:3
B,D,L,M,N,:3
B,D,K,L,M,:4
B,D,K,L,N,:3
B,D,K,M,N,:3
B,E,F,J,L,:4
B,E,F,J,K,:4
B,E,F,J,M,:4
B,E,F,J,N,:3
B,E,F,L,M,:4
B,E,F,L,N,:3
B,E,F,K,L,:4
B,E,F,K,M,:4
B,E,F,K,N,:3
B,E,F,M,N,:3
B,E,J,L,M,:4
B,E,J,L,N,:3
B,E,J,K,L,:4
B,E,J,K,M,:4
B,E,J,K,N,:3
B,E,J,M,N,:3
B,E,L,M,N,:3
B,E,K,L,M,:4
B,E,K,L,N,:3
B,E,K,M,N,:3
B,F,J,L,M,:4
B,F,J,L,N,:3
B,F,J,K,L,:4
B,F,J,K,M,:4
B,F,J,K,N,:3
B,F,J,M,N,:3
B,F,L,M,N,:3
B,F,K,L,M,:4
B,F,K,L,N,:3
B,F,K,M,N,:3
B,J,L,M,N,:3
B,J,K,L,M,:4
B,J,K,L,N,:3
B,J,K,M,N,:3
B,K,L,M,N,:3
C,D,E,F,J,:4
C,D,E,F,L,:4
C,D,E,F,K,:4
C,D,E,F,M,:4
C,D,E,F,N,:3
C,D,E,J,L,:4
C,D,E,J,K,:4
C,D,E,J,M,:4
C,D,E,J,N,:3
C,D,E,L,M,:4
C,D,E,L,N,:3
C,D,E,K,L,:4
C,D,E,K,M,:4
C,D,E,K,N,:3
C,D,E,M,N,:3
C,D,F,J,L,:4
C,D,F,J,K,:4
C,D,F,J,M,:4
C,D,F,J,N,:3
C,D,F,L,M,:4
C,D,F,L,N,:3
C,D,F,K,L,:4
C,D,F,K,M,:4
C,D,F,K,N,:3
C,D,F,M,N,:3
C,D,J,L,M,:4
C,D,J,L,N,:3
C,D,J,K,L,:4
C,D,J,K,M,:4
C,D,J,K,N,:3
C,D,J,M,N,:3
C,D,L,M,N,:3
C,D,K,L,M,:4
C,D,K,L,N,:3
C,D,K,M,N,:3
C,E,F,J,L,:4
C,E,F,J,K,:4
C,E,F,J,M,:4
C,E,F,J,N,:3
C,E,F,L,M,:4
C,E,F,L,N,:3
C,E,F,K,L,:4
C,E,F,K,M,:4
C,E,F,K,N,:3
C,E,F,M,N,:3
C,E,J,L,M,:4
C,E,J,L,N,:3
C,E,J,K,L,:4
C,E,J,K,M,:4
C,E,J,K,N,:3
C,E,J,M,N,:3
C,E,L,M,N,:3
C,E,K,L,M,:4
C,E,K,L,N,:3
C,E,K,M,N,:3
C,F,J,L,M,:4
C,F,J,L,N,:3
C,F,J,K,L,:4
C,F,J,K,M,:4
C,F,J,K,N,:3
C,F,J,M,N,:3
C,F,L,M,N,:3
C,F,K,L,M,:4
C,F,K,L,N,:3
C,F,K,M,N,:3
C,J,L,M,N,:3
C,J,K,L,M,:4
C,J,K,L,N,:3
C,J,K,M,N,:3
C,K,L,M,N,:3
D,E,F,J,L,:4
D,E,F,J,K,:4
D,E,F,J,M,:4
D,E,F,J,N,:3
D,E,F,L,M,:4
D,E,F,L,N,:3
D,E,F,K,L,:4
D,E,F,K,M,:4
D,E,F,K,N,:3
D,E,F,M,N,:3
D,E,J,L,M,:4
D,E,J,L,N,:3
D,E,J,K,L,:4
D,E,J,K,M,:4
D,E,J,K,N,:3
D,E,J,M,N,:3
D,E,L,M,N,:3
D,E,K,L,M,:4
D,E,K,L,N,:3
D,E,K,M,N,:3
D,F,J,L,M,:4
D,F,J,L,N,:3
D,F,J,K,L,:4
D,F,J,K,M,:4
D,F,J,K,N,:3
D,F,J,M,N,:3
D,F,L,M,N,:3
D,F,K,L,M,:4
D,F,K,L,N,:3
D,F,K,M,N,:3
D,J,L,M,N,:3
D,J,K,L,M,:4
D,J,K,L,N,:3
D,J,K,M,N,:3
D,K,L,M,N,:3
E,F,J,L,M,:4
E,F,J,L,N,:3
E,F,J,K,L,:4
E,F,J,K,M,:4
E,F,J,K,N,:3
